f,mag
1596.986328125,275.03
1597.48046875,221.82
1597.974609375,188.82
1598.46875,308.01
1598.962890625,234.65
1599.45703125,284.03
1599.951171875,405.08
1600.4453125,388.49
1600.939453125,115.29
1601.43359375,406.63
1601.927734375,275.76
1602.421875,31.45
1602.916015625,552.67
1603.41015625,61.53
1603.904296875,49.41
1604.3984375,155.47
1604.892578125,256.07
1605.38671875,408.5
1605.880859375,216.49
1606.375,184.13
1606.869140625,203.69
1607.36328125,248.75
1607.857421875,82.13
1608.3515625,424.26
1608.845703125,457.31
1609.33984375,431.6
1609.833984375,157.07
1610.328125,415.11
1610.822265625,624.48
1611.31640625,73.42
1611.810546875,142.28
1612.3046875,520.88
1612.798828125,382.04
1613.29296875,324.74
1613.787109375,412.03
1614.28125,158.76
1614.775390625,290.98
1615.26953125,294.3
1615.763671875,90.7
1616.2578125,153.37
1616.751953125,351.79
1617.24609375,355.75
1617.740234375,106.68
1618.234375,86.17
1618.728515625,206.89
1619.22265625,96.39
1619.716796875,259.01
1620.2109375,162.04
1620.705078125,334.39
1621.19921875,293.26
1621.693359375,193.58
1622.1875,95.74
1622.681640625,34.84
1623.17578125,105.23
1623.669921875,76.32
1624.1640625,74.16
1624.658203125,230.6
1625.15234375,160.51
1625.646484375,233.3
1626.140625,197.7
1626.634765625,69.57
1627.12890625,508.34
1627.623046875,261.09
1628.1171875,315.67
1628.611328125,143.22
1629.10546875,140.98
1629.599609375,360.91
1630.09375,112.24
1630.587890625,414.69
1631.08203125,109.62
1631.576171875,198.23
1632.0703125,275.84
1632.564453125,424.0
1633.05859375,220.38
1633.552734375,27.87
1634.046875,144.58
1634.541015625,194.67
1635.03515625,446.25
1635.529296875,136.63
1636.0234375,114.32
1636.517578125,291.64
1637.01171875,413.16
1637.505859375,421.36
1638.0,257.34
1638.494140625,51.58
1638.98828125,57.59
1639.482421875,171.15
1639.9765625,317.72
1640.470703125,142.81
1640.96484375,52.65
1641.458984375,440.03
1641.953125,195.35
1642.447265625,234.38
1642.94140625,362.23
1643.435546875,365.2
1643.9296875,204.13
1644.423828125,224.44
1644.91796875,254.83
1645.412109375,90.86
1645.90625,287.8
1646.400390625,198.02
1646.89453125,187.66
1647.388671875,310.77
1647.8828125,110.66
1648.376953125,110.75
1648.87109375,186.82
1649.365234375,115.93
1649.859375,158.58
1650.353515625,636.4
1650.84765625,262.11
1651.341796875,179.42
1651.8359375,209.72
1652.330078125,306.94
1652.82421875,262.94
