f,mag
1686.42578125,89.42
1686.919921875,128.15
1687.4140625,162.82
1687.908203125,78.66
1688.40234375,39.23
1688.896484375,63.59
1689.390625,151.71
1689.884765625,35.59
1690.37890625,74.21
1690.873046875,88.22
1691.3671875,53.83
1691.861328125,98.78
1692.35546875,40.01
1692.849609375,82.35
1693.34375,81.58
1693.837890625,88.36
1694.33203125,91.23
1694.826171875,33.97
1695.3203125,92.82
1695.814453125,9.47
1696.30859375,133.73
1696.802734375,40.57
1697.296875,19.31
1697.791015625,51.86
1698.28515625,21.9
1698.779296875,21.24
1699.2734375,190.69
1699.767578125,88.41
1700.26171875,68.46
1700.755859375,39.06
1701.25,35.42
1701.744140625,29.69
1702.23828125,85.64
1702.732421875,116.35
1703.2265625,69.22
1703.720703125,211.03
1704.21484375,35.07
1704.708984375,38.21
1705.203125,42.84
1705.697265625,114.45
1706.19140625,54.62
1706.685546875,98.32
1707.1796875,35.57
1707.673828125,80.11
1708.16796875,70.43
1708.662109375,152.77
1709.15625,132.04
1709.650390625,63.17
1710.14453125,134.57
1710.638671875,108.2
1711.1328125,75.74
1711.626953125,43.96
1712.12109375,95.73
1712.615234375,80.31
1713.109375,108.47
1713.603515625,58.63
1714.09765625,86.7
1714.591796875,23.7
1715.0859375,143.81
1715.580078125,77.79
1716.07421875,28.12
1716.568359375,17.7
1717.0625,118.54
1717.556640625,64.84
1718.05078125,46.96
1718.544921875,86.56
1719.0390625,116.93
1719.533203125,38.84
1720.02734375,30.46
1720.521484375,84.59
1721.015625,30.65
1721.509765625,10.62
1722.00390625,43.65
1722.498046875,39.84
1722.9921875,59.89
1723.486328125,53.88
1723.98046875,89.54
1724.474609375,93.65
1724.96875,45.9
1725.462890625,131.84
1725.95703125,112.77
1726.451171875,12.57
1726.9453125,124.99
1727.439453125,86.37
1727.93359375,114.44
1728.427734375,48.04
1728.921875,121.22
1729.416015625,151.29
1729.91015625,21.67
1730.404296875,94.79
1730.8984375,121.26
1731.392578125,139.41
1731.88671875,89.34
